crop_filename,image,class_id,class_name,conf,x1,y1,x2,y2,ocr_text
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__001.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9318,1378,1014,1551,1099,"35,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__002.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9303,1379,2196,1553,2281,"29,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__003.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9277,619,1406,793,1493,"11,0"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__004.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9205,1002,1013,1176,1099,"34,89"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__005.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9176,1756,1405,1928,1492,"14,30"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__006.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9136,243,1406,415,1492,"15,50"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__007.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9127,1379,1406,1553,1492,"34,50"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__008.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9116,1790,1799,1922,1886,"8,0"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__009.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9115,1000,1800,1172,1887,"19,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__010.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9112,268,2197,403,2281,"5,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__011.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9101,244,1013,417,1099,"23,50"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__012.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9094,1757,1012,1930,1098,"39,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__013.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9090,622,1013,796,1099,"24,89"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__014.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9085,1000,1407,1172,1494,"11,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__015.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9064,1040,2194,1170,2281,"6,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__001.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.9053,69,1013,228,1105,Acém/ Pá/ Peito Bovino Resfriado Peça/ Pedaço kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__016.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9052,1758,2194,1927,2279,"19,5"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__002.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.9052,1237,1409,1370,1499,Jerked Beef Ponta Agulha kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__017.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9031,1377,1801,1551,1887,"14,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__018.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.9025,622,1801,792,1888,"13,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__019.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.8986,244,1801,415,1887,"24,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__003.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8971,462,2195,632,2281,Hambúrguer Misto Friara 569
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__price__020.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,0,price,0.8970,652,2194,789,2281,"0,"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__004.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8926,463,1002,613,1090,Músculo Bovino Resfriado Peça/ Pedaço kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__005.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8911,825,1791,997,1881,Filé de Peito de Frango Congelado kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__006.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8899,1587,1017,1754,1105,Contra Filé Bovino Resfriado Peça/ Pedaço Kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__007.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8891,1607,1809,1765,1897,Frango Resfriado Naturaves kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__008.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8888,55,1795,235,1883,Linguiça Defumada Calabresa Perdigão kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__009.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8868,845,1006,995,1093,Patinho Bovino Resfriado Peça/ Pedaço kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__010.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8842,1218,1002,1376,1112,Chã de Dentro Bovino Resfriado Peça Pedaço kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__011.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8794,1235,1787,1375,1878,Asa de Frango Congelada kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__012.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8788,1562,1406,1758,1494,Linguiça p/ Churrasco Gomos Naturaves kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__013.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8712,1220,2186,1371,2270,Queijo Muçarela Peça/ Pedaço kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__014.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8659,435,1408,617,1495,Costela Suína Congelada em Tiras kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__015.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8631,856,1416,995,1501,Fígado Bovino Congelado kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__016.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8601,466,1827,616,1889,Peito de Frango Congelado kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__017.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8587,831,2222,1011,2282,Salsicha p/ Hot Dog Mauricéa kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__018.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8506,93,2190,230,2274,Galinha Magra Congelada kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__019.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8416,48,1416,234,1478,Costela Bovina Resfriada c/ Osso kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1__product_text__020.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p1.png,1,product_text,0.8357,1585,2222,1747,2279,Batata Congelada Uai 2kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__001.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9287,953,1704,1175,1794,"298,"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__002.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9217,1711,1705,1930,1793,"278,9"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__003.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9189,653,931,788,1015,"4,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__004.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9146,1788,1323,1925,1412,"2,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__005.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9126,1000,930,1173,1015,"12,89"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__006.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9117,1790,531,1923,620,58
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__007.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9105,1416,532,1545,620,"6,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__008.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9095,621,532,793,620,"17,80"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__001.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9092,112,926,260,1013,Creme de Leite Italac Tp 200g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__009.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9088,245,533,417,619,"15,30"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__010.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9087,654,1708,792,1795,"9,0."
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__011.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9085,1788,929,1923,1015,"4,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__002.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9060,638,1173,767,1311,Azeite Português Extra Virgem Andorinha 500ml
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__012.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9058,622,1323,797,1413,"33,"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__003.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9053,809,1325,1015,1417,Farinha De Trigo Finna Tradicional Sem Fermento 1kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__013.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9039,1031,1322,1168,1411,"4,18"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__014.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9036,273,930,410,1015,"2,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__015.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9026,1405,1322,1543,1414,"1,78"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__016.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.9021,278,1323,411,1411,"5,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__004.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9016,1077,1567,1180,1699,Pneu Dunlop Sp Touring 175/65R14 R182T
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__005.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.9004,74,1709,260,1799,Água Mineral s/ Gás Aguas do Porto 510ml
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__017.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.8973,1409,929,1544,1016,"3,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__018.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.8970,276,1706,415,1795,"0,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__price__019.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,0,price,0.8952,1033,531,1168,620,"3,8"
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__006.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8889,451,540,617,626,Manteiga com Sal Natville 500g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__007.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8883,42,552,243,618,Carne Suína Pururuca kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__008.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8869,1598,529,1768,618,Leite Condensado Italac 3959
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__009.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8865,449,1709,625,1798,Sabão em Barra Neutro Glicerinado Ypê 160g c/ 5
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__010.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8764,1249,955,1389,1017,Açúcar Cristal Dona Mira 1kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__011.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8718,1595,1331,1770,1398,Milho Verde Fugini Sachê 170g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__012.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8650,1702,1581,1878,1697,Pneu Dunlop Touring 175/70R13 R1 79T 105/70R13 R1 79T
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__013.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8641,1206,562,1391,624,Leite em Pó Integral Italac Sachê 200g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__014.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8629,889,940,999,1002,Café Bahia 2509
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__015.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8574,1567,956,1769,1018,Arroz Agulhinha Tipo 1 Tio Urbano 1kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__016.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8564,84,1352,260,1415,Feijão Carioca Vida Cores 1kg
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__017.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8515,636,839,788,922,Leite Longa Vida Integral Betânia 1 litro
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__018.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8473,1021,378,1132,519,Pão de Forma Tradicional Limiar 400g
BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2__product_text__019.png,BRASIL ATACAREJO - BRUMADO 03.11 A 06.11_p2.png,1,product_text,0.8437,1442,1199,1528,1317,Massa Comum Petyan 400g
