product_norm,branch,num_periods,num_vezes_mais_barata,media_preco
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JUAZEIRO DO NORTE,4,4,23.30
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,CAMPINA GRANDE,5,1,24.42
ACEM/PA/PEITO BOVINO CONGELADO C/OSSO KG,JOÃO PESSOA,5,1,24.42
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,VITÓRIA DA CONQUISTA,2,2,25.50
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,BRUMADO,3,2,25.80
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,JUAZEIRO DO NORTE,1,0,26.00
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,JOÃO PESSOA,1,0,29.00
ACEM/PA/PEITO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,CAMPINA GRANDE,1,0,29.90
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,BRUMADO,1,1,23.80
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,JUAZEIRO DO NORTE,2,2,25.80
ACEM/PA/PEITO BOVINO RESFRIADO PECA/PEDACO KG,VITÓRIA DA CONQUISTA,1,0,25.80
ACUCAR BAIANO CRISTAL OU REFINADO 1KG,VITÓRIA DA CONQUISTA,1,1,3.32
ACUCAR BAIANO CRISTAL OU REFINADO 1KG,BRUMADO,1,1,3.39
ACUCAR CRISTAL CAETE 1KG,JUAZEIRO DO NORTE,3,3,3.11
ACUCAR CRISTAL DONA MIRA 1KG,BRUMADO,2,2,3.40
ACUCAR CRISTAL DONA MIRA 1KG,VITÓRIA DA CONQUISTA,1,1,3.80
ACUCAR CRISTAL VALIOSO 1KG,JUAZEIRO DO NORTE,2,2,3.50
ACUCAR DONA MIRA CRISTAL OU MOIDO 1KG,VITÓRIA DA CONQUISTA,1,1,3.00
ACUCAR PADIM CRISTAL OU REFINADO 1KG,VITÓRIA DA CONQUISTA,1,1,3.59
ACUCAR TRITURADO ALEGRE 1KG,CAMPINA GRANDE,4,4,3.19
ACUCAR TRITURADO ALEGRE 1KG,JOÃO PESSOA,4,4,3.19
ACUCAR VIDA CRISTAL OU REFINADO 1KG,BRUMADO,1,1,3.00
"AGUA MINERAL DIAS D'AVILA S/GAS 1,5 LITRO",BRUMADO,1,1,2.18
"AGUA MINERAL DIAS D'AVILA S/GAS 1,9 LITRO",VITÓRIA DA CONQUISTA,1,1,2.08
AGUA MINERAL S! GAS STERBOM 510ML,JUAZEIRO DO NORTE,1,1,0.80
AGUA MINERAL S/GAS AGUAS DO PORTO 510ML,BRUMADO,2,2,0.86
AGUA MINERAL S/GAS AGUAS DO PORTO 510ML,VITÓRIA DA CONQUISTA,3,3,0.89
AGUA MINERAL S/GAS AGUAS DO PORTO 510ML,JUAZEIRO DO NORTE,1,1,0.95
AGUA MINERAL S/GAS DIAS D'AVILA 500ML,BRUMADO,1,1,0.95
AGUA MINERAL S/GAS STERBOM 510M!,CAMPINA GRANDE,3,3,0.85
AGUA MINERAL S/GAS STERBOM 510M!,JOÃO PESSOA,3,2,0.85
AGUA MINERAL S/GAS STERBOM 510ML,JUAZEIRO DO NORTE,1,1,0.75
AGUA MINERAL S/GAS STERBOM 510ML,JOÃO PESSOA,2,2,0.79
AGUA MINERAL S/GAS STERBOM 510ML,CAMPINA GRANDE,2,1,0.80
AGUA MINERAL STERBOM 510M!,CAMPINA GRANDE,1,1,0.78
AGUA MINERAL STERBOM 510M!,JOÃO PESSOA,1,1,0.78
AGUA MINERAL STERBOM 510M!,JUAZEIRO DO NORTE,1,0,0.88
ALCATRA C/MAMINHA BOVINA RESFRIADA FRIBOI PECA/PEDACO KG,BRUMADO,1,1,35.90
ALCATRA C/MAMINHA BOVINA RESFRIADA PECA/PEDACO KG,JUAZEIRO DO NORTE,4,4,38.50
ARROZ AGULHINHA TIPO 1 POP 1KG,JUAZEIRO DO NORTE,2,2,3.83
ARROZ AGULHINHA TIPO 1 TIO URBANO 1KG,BRUMADO,1,1,4.00
ARROZ AGULHINHA TIPO 1 TIO URBANO 1KG,VITÓRIA DA CONQUISTA,1,1,4.00
ARROZ AGULINHA TIPO 1 TIO URBANO 1KG,VITÓRIA DA CONQUISTA,1,1,3.00
ARROZ PARBOILIZADO KIKA TIPO 1 1KG,BRUMADO,1,1,3.00
ARROZ PARBOILIZADO MINUTINHO 1KG,VITÓRIA DA CONQUISTA,1,1,3.00
ARROZ PARBOILIZADO OU BRANCO DONA ANA 1KG,BRUMADO,1,1,3.20
ARROZ PARBOILIZADO OU BRANCO DONA ANA 1KG,VITÓRIA DA CONQUISTA,1,1,3.80
ARROZ PARBOILIZADO RAMPINELLI 1KG,CAMPINA GRANDE,3,3,3.39
ARROZ PARBOILIZADO RAMPINELLI 1KG,JOÃO PESSOA,3,3,3.39
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,JOÃO PESSOA,2,2,3.39
ARROZ PARBOILIZADO TIPO 1 KIKA 1KG,CAMPINA GRANDE,2,1,3.69
ARROZ PARBOILIZADO TIPO 2 POP 1KG,JUAZEIRO DO NORTE,4,4,3.08
ARROZ RAMPINELLI PARBOILIZADO/BRANCO 1KG,BRUMADO,1,1,3.00
BATATA CONGELADA MASTERBOI 2KG,BRUMADO,1,1,19.30
BATATA CONGELADA MASTERBOI 2KG,VITÓRIA DA CONQUISTA,1,0,19.80
BATATA CONGELADA UAI 2KG,JUAZEIRO DO NORTE,5,2,19.64
BATATA CONGELADA UAI 2KG,CAMPINA GRANDE,4,4,19.95
BATATA CONGELADA UAI 2KG,JOÃO PESSOA,4,4,19.95
BATATA CONGELADA UAI 2KG,BRUMADO,2,2,20.90
BATATA CONGELADA UAI 2KG,VITÓRIA DA CONQUISTA,2,2,20.90
CARRE SUINO CONGELADO KG,JUAZEIRO DO NORTE,6,6,15.00
CARRE SUINO CONGELADO KG,BRUMADO,1,1,15.80
CARRE SUINO CONGELADO KG,CAMPINA GRANDE,6,0,16.85
CARRE SUINO CONGELADO KG,JOÃO PESSOA,6,0,17.17
CARRE SUINO CONGELADO KG,VITÓRIA DA CONQUISTA,2,1,17.85
CHA DE DENTRO BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,BRUMADO,1,1,34.80
CHA DE DENTRO BOVINO RESFRIADO PECA PEDACO KG,BRUMADO,1,1,35.00
CHA DE DENTRO BOVINO RESFRIADO PECA PEDACO KG,VITÓRIA DA CONQUISTA,1,1,35.00
CHA DE DENTRO BOVINO RESFRIADO PECA/PEDACO KG,JUAZEIRO DO NORTE,4,4,34.60
CHA DE DENTRO BOVINO RESFRIADO PECA/PEDACO KG,JOÃO PESSOA,4,1,40.50
CHA DE DENTRO BOVINO RESFRIADO PECA/PEDACO KG,CAMPINA GRANDE,4,1,40.62
CHA DE FORA BOVINO RESFRIADO FRIBOI PECA/PEDACO KG,VITÓRIA DA CONQUISTA,3,3,31.83
CREME DE LEITE ITALAC 2009,CAMPINA GRANDE,3,3,2.59
CREME DE LEITE ITALAC 2009,JOÃO PESSOA,3,3,2.59
CREME DE LEITE ITALAC 2009,JUAZEIRO DO NORTE,3,2,2.69
CREME DE LEITE ITALAC 200G TP,BRUMADO,2,2,2.79
CREME DE LEITE ITALAC 200G TP,VITÓRIA DA CONQUISTA,3,3,2.79
CREME DE LEITE ITALAC 200G TP,CAMPINA GRANDE,1,1,2.80
CREME DE LEITE ITALAC 200G TP,JOÃO PESSOA,1,1,2.80
CREME DE LEITE ITALAC TP 2009,JUAZEIRO DO NORTE,2,2,2.64
CREME DE LEITE ITALAC TP 2009,CAMPINA GRANDE,2,1,2.69
CREME DE LEITE ITALAC TP 2009,JOÃO PESSOA,2,1,2.69
CREME DE LEITE ITALAC TP 200G,VITÓRIA DA CONQUISTA,1,1,2.58
CREME DE LEITE ITALAC TP 200G,BRUMADO,1,0,2.80
LEITE CONDENSADO ITALAC 3959,JOÃO PESSOA,4,4,5.24
LEITE CONDENSADO ITALAC 3959,CAMPINA GRANDE,4,3,5.42
LEITE CONDENSADO ITALAC 3959,JUAZEIRO DO NORTE,4,3,5.42
LEITE CONDENSADO ITALAC 3959,BRUMADO,2,1,5.54
LEITE CONDENSADO ITALAC 3959,VITÓRIA DA CONQUISTA,2,1,5.54
LEITE CONDENSADO ITALAC 3959 TP,BRUMADO,1,1,5.80
LEITE CONDENSADO ITALAC 395G TP,VITÓRIA DA CONQUISTA,1,1,5.80
LEITE CONDENSADO ITALAC TP 3959,CAMPINA GRANDE,1,1,4.80
LEITE CONDENSADO ITALAC TP 3959,JOÃO PESSOA,1,1,4.80
LEITE CONDENSADO ITALAC TP 3959,JUAZEIRO DO NORTE,2,1,5.54
LEITE CONDENSADO MARAJOARA 3959,BRUMADO,1,1,5.20
LEITE EM PO BETANIA 2009,JUAZEIRO DO NORTE,2,2,5.63
LEITE EM PO BETANIA 200G,BRUMADO,1,1,7.20
LEITE EM PO BETANIA 200G,VITÓRIA DA CONQUISTA,1,0,7.80
LEITE EM PO INTEGRAL ITALAC SACHE 2009,CAMPINA GRANDE,2,2,6.00
LEITE EM PO INTEGRAL ITALAC SACHE 2009,JOÃO PESSOA,2,2,6.00
LEITE EM PO INTEGRAL ITALAC SACHE 200G,CAMPINA GRANDE,3,3,6.00
LEITE EM PO INTEGRAL ITALAC SACHE 200G,JOÃO PESSOA,4,3,6.45
LEITE EM PO INTEGRAL ITALAC SACHE 200G,JUAZEIRO DO NORTE,2,1,6.80
LEITE EM PO INTEGRAL ITALAC SACHE 200G,BRUMADO,3,3,7.25
LEITE EM PO INTEGRAL ITALAC SACHE 200G,VITÓRIA DA CONQUISTA,2,1,7.30
LINGUICA CALABRESA DEFUMADA PERDIGAO KG,CAMPINA GRANDE,1,1,15.50
LINGUICA CALABRESA DEFUMADA PERDIGAO KG,JOÃO PESSOA,1,0,15.80
LINGUICA CALABRESA DEFUMADA SAUDALI KG,JUAZEIRO DO NORTE,1,1,19.89
LINGUICA DE FRANGO EM GOMOS BOM TODO KG,JUAZEIRO DO NORTE,1,1,14.30
LINGUICA DEFUMADA CALABRESA FINA NATURAVES KG,BRUMADO,1,1,16.50
LINGUICA DEFUMADA CALABRESA FINA NATURAVES KG,VITÓRIA DA CONQUISTA,1,0,16.80
LINGUICA DEFUMADA CALABRESA NATURAVES KG,BRUMADO,1,1,16.80
LINGUICA DEFUMADA CALABRESA PERDIGAO KG,BRUMADO,1,1,14.89
LINGUICA DEFUMADA CALABRESA PERDIGAO KG,VITÓRIA DA CONQUISTA,1,1,14.89
LINGUICA DEFUMADA CALABRESA PERDIGAO KG,CAMPINA GRANDE,1,1,15.80
LINGUICA DEFUMADA CALABRESA PERDIGAO KG,JOÃO PESSOA,1,1,15.80
LINGUICA EM GOMOS P/CHURRASCO AURORA FRANGO KG,JUAZEIRO DO NORTE,1,1,16.80
LINGUICA EM GOMOS P/CHURRASCO AURORA KG,CAMPINA GRANDE,3,3,16.53
LINGUICA EM GOMOS P/CHURRASCO AURORA KG,JOÃO PESSOA,3,3,16.53
LINGUICA EM GOMOS P/CHURRASCO AURORA KG,JUAZEIRO DO NORTE,3,1,16.77
LINGUICA GOMOS CHURRASCO AURORA KG,JUAZEIRO DO NORTE,1,1,16.00
LINGUICA MISTA EM GOMOS P/CHURRASCO FRIATO KG,CAMPINA GRANDE,2,2,15.40
LINGUICA MISTA EM GOMOS P/CHURRASCO FRIATO KG,JOÃO PESSOA,2,2,15.40
LINGUICA P/CHURRASCO EM GOMOS NATURAVES KG,BRUMADO,2,2,14.80
LINGUICA P/CHURRASCO EM GOMOS NATURAVES KG,VITÓRIA DA CONQUISTA,1,1,15.80
LINGUICA P/CHURRASCO GOMOS NATURAVES KG,BRUMADO,1,1,14.80
LINGUICA P/CHURRASCO GOMOS NATURAVES KG,VITÓRIA DA CONQUISTA,1,1,14.80
PEITO DE FRANGO CONGELADO KG,JUAZEIRO DO NORTE,4,4,11.89
PEITO DE FRANGO CONGELADO KG,BRUMADO,2,2,12.90
PEITO DE FRANGO CONGELADO KG,VITÓRIA DA CONQUISTA,1,1,13.00
PEITO DE FRANGO CONGELADO KG,CAMPINA GRANDE,5,1,13.64
PEITO DE FRANGO CONGELADO KG,JOÃO PESSOA,6,2,13.83
QUEIJO MUCARELA PECA/PEDACO KG,CAMPINA GRANDE,4,4,28.32
QUEIJO MUCARELA PECA/PEDACO KG,JOÃO PESSOA,4,4,28.32
QUEIJO MUCARELA PECA/PEDACO KG,BRUMADO,1,1,29.90
QUEIJO MUCARELA PECA/PEDACO KG,VITÓRIA DA CONQUISTA,1,1,29.90
QUEIJO MUCARELA PECA/PEDACO KG,JUAZEIRO DO NORTE,4,0,30.18
